Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2004,11,11,21,26,41.1,3013,,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,10,7.5,,34,1,,,400,3,,3,781,3,16712,4,34,1,,,400,3,,3,781,3,16712,4,Indonesia,Asia,AU
1991,7,4,11,43,10.4,,,"INDONESIA:  TIMOR:  KALABAHI, DILI",-8.099,124.681,29,6.5,,28,1,,,181,3,7.7,3,1150,4,,,28,1,,,181,3,7.7,3,1150,4,,,Indonesia,Asia,AU
2006,5,26,22,53,58.9,,,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",-7.961,110.446,13,6.3,,5749,4,,,38568,4,3100,4,127000,4,127000,4,5749,4,,,38568,4,3100,4,127000,4,,,Indonesia,Asia,AU
2010,1,10,0,25,4.2,,,INDONESIA:  JAVA:  GARUT,-7.907,107.879,65,5.1,,1,1,,,2,1,,,,,,,1,1,,,2,1,,,,,,,Indonesia,Asia,AU
2020,7,17,2,50,23,,,"PAPUA NEW GUINEA:  MOROBE, ORO",-7.843,147.766,80,7,,1,1,,,1,1,,1,,,12,1,1,1,,,1,1,,1,,,12,1,Papua New Guinea,Oceania,AU
2009,9,2,7,55,1,5734,,INDONESIA:  JAVA,-7.782,107.297,46,7,,81,2,,,1297,4,,3,,,54000,4,81,2,,,1297,4,,3,,,54000,4,Indonesia,Asia,AU
1979,11,2,15,53,3.5,,,INDONESIA:  JAVA,-7.656,108.252,62,6.1,,30,1,,,200,3,16,3,,,,,30,1,,,200,3,16,3,,,,,Indonesia,Asia,AU
2017,12,15,16,47,23,,,INDONESIA:  JAVA,-7.492,108.174,90,6.5,7,4,1,,,36,1,,2,,,4825,4,4,1,,,36,1,,2,,,4825,4,Indonesia,Asia,AU
2018,10,10,18,44,28,,,"INDONESIA:  MADURA ISLAND, JAVA",-7.453,114.455,9,6,5,4,1,,,36,1,,1,,,433,3,4,1,,,36,1,,1,,,433,3,Indonesia,Asia,AU
2019,8,2,12,3,27,,,INDONESIA:  JAVA:  BANTEN,-7.267,104.825,53,6.9,,6,1,,,3,1,,2,13,1,458,3,6,1,,,3,1,,2,13,1,458,3,Indonesia,Asia,AU
2018,4,18,6,29,24,,,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654,10,4.5,2,3,1,,,21,1,,2,,,316,3,3,1,,,21,1,,2,,,316,3,Indonesia,Asia,AU
1971,6,16,14,44,22.5,,,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",-7.2,109.1,35,5.2,,1,1,,,6,1,,3,,,1377,4,1,1,,,6,1,,3,,,1377,4,Indonesia,Asia,AU
2018,1,23,6,35,38,,,INDONESIA:  JAVA:  BANTEN,-7.092,105.963,48,5.9,6,1,1,,,11,1,,2,,,2760,4,1,1,,,11,1,,2,,,2760,4,Indonesia,Asia,AU
1999,12,21,14,14,57.6,,,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,56,6.5,,5,1,,,220,3,3.9,2,,,2800,4,5,1,,,220,3,3.9,2,,,2800,4,Indonesia,Asia,AU
1972,3,20,7,33,49.6,,,PERU:  JUANJUI,-6.8,-76.8,64,6.1,9,7,1,,,50,1,20,3,,,,,,,,,,,,,,,,,Peru,South America,AU
