Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
1999,12,3,17,6,54.7,,,"TURKEY:  GORESKEN, ERZURUM PROVINCE",40.358,42.346,19,5.7,,1,1,,,6,1,,2,,,340,3,1,1,,,6,1,,2,,,340,3,Turkey,Asia,EU
1930,11,21,2,0,25,,,"ALBANIA:  VLORE, HIMARE, KUC",40.5,19.5,12,6,11,35,1,,,108,3,,3,980,3,,,,,,,,,,,,,,,Albania,Europe,EU
1932,9,26,19,20,42,1655,,GREECE: HIERISSOS-STRANTONION (CHALKIDIKI),40.5,23.9,35,6.9,10,161,3,,,669,3,,4,4106,4,3218,4,161,3,,,669,3,,4,4106,4,3218,4,Greece,Europe,EU
1994,12,28,12,19,23,2235,,JAPAN:  HONSHU,40.525,143.419,27,7.8,9,3,1,,,200,3,170.4,4,,,,,3,1,,,200,3,170.4,4,,,,,Japan,Asia,EU
1984,10,18,9,46,24.6,,,"TURKEY:  E, SENKAYA",40.545,42.403,60,5.3,,3,1,,,35,1,,3,75000,4,,,3,1,,,35,1,,3,75000,4,,,Turkey,Asia,EU
1902,2,13,9,39,30,,,AZERBAIJAN:  SEMACHA; N IRAN,40.7,48.6,15,6.9,9,86,2,,,60,2,,4,3496,4,3496,4,86,2,,,60,2,,4,3496,4,,,Azerbaijan,Asia,EU
1990,5,5,7,21,29.5,,,ITALY:  POTENZA,40.775,15.766,10,5.4,7,2,1,,,16,1,,2,,,,,2,1,,,16,1,,2,,,,,Italy,Europe,EU
2017,8,21,18,57,11,,,ITALY:  ISCHIA ISLAND,40.783,13.939,3,4.2,,2,1,,,42,1,,2,,2,,2,2,1,,,42,1,,2,,2,,2,Italy,Europe,EU
1968,5,16,0,48,55.4,2000,,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,7,8.2,6,52,2,,,330,3,,3,689,3,,,52,2,,,330,3,131,4,1218,4,,,Japan,Asia,EU
1999,6,4,9,12,50,,,"AZERBAIJAN:  AGDAS, UCAR, AGALI",40.802,47.448,33,5.4,5,1,1,,,18,1,5,2,,,50,1,1,1,,,18,1,5,2,,,50,1,Azerbaijan,Asia,EU
1982,11,16,23,41,21,,,"BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE",40.883,19.59,21,5.5,8,1,1,,,12,1,5,2,,,,,1,1,,,12,1,5,2,,,,,Albania,Europe,EU
1984,9,18,13,26,1.8,,,"TURKEY:  E, ERZURUM, OLUR-SENKAYA",40.885,42.219,10,6.4,8,3,1,,,38,1,,2,75000,4,,,3,1,,,38,1,,3,75000,4,,,Turkey,Asia,EU
1980,11,23,18,34,53.8,,,"ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES",40.914,15.366,20,6.9,10,4689,4,,,7700,4,20000,4,,,,,4689,4,,,7700,4,20000,4,,,,,Italy,Europe,EU
1990,12,21,6,57,42.9,,,"GREECE:  EDHESSA, KILKIS",41.004,22.3,13,5.9,7,1,1,,,60,2,,1,,,,2,1,1,,,60,2,,1,,,,2,Greece,Europe,EU
1976,3,25,11,55,39.4,,,TURKEY,41.13,43.01,18,4.8,,2,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,,Turkey,Asia,EU
2019,11,26,2,54,12,,,"ALBANIA:  DURRES, THUMANE, TIRANA",41.521,19.559,20,6.4,,51,2,,,2000,4,1081,4,11000,4,83000,4,51,2,,,2000,4,1081,4,11000,4,83000,4,Albania,Europe,EU
2018,6,5,18,40,2,,,AZERBAIJAN: SHAKI-ZAQATALA,41.526,46.786,22,5.3,,1,1,,,31,1,,1,,,,2,1,1,,,31,1,,1,,,,2,Azerbaijan,Asia,EU
1942,8,27,6,14,11,,,"ALBANIA:  PESHKOPIA, MAGELLARE",41.7,20.4,33,6,10,43,1,,,110,3,,3,,3,,,43,1,,,110,3,,3,,3,,,Albania,Europe,EU
1984,5,7,17,49,41.6,,,ITALY:  S CENTRAL:  ABRUZZO,41.765,13.898,10,5.8,8,3,1,,,100,2,5,2,,,,,3,1,,,100,2,5,2,,,,,Italy,Europe,EU
2002,4,25,17,41,21.5,,,GEORGIA:  TBILISI,41.765,44.96,10,4.3,,5,1,,,52,2,,3,,,2400,4,5,1,,,52,2,,3,,,2400,4,Georgia,Europe,EU
2002,10,31,10,32,58.7,,,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,10,5.7,7,30,1,,,135,3,796,4,,,,4,30,1,,,135,3,796,4,,,,4,Italy,Europe,EU
1968,9,3,8,19,52.2,3297,,"TURKEY:  BARTIN, AMASRA, CAKRAZ",41.8,32.3,38,6.6,8,24,1,,,200,3,,3,2000,4,2000,4,24,1,,,200,3,,3,2000,4,,,Turkey,Asia,EU
1984,5,11,10,41,49.9,,,ITALY:  S CENTRAL:  ABRUZZO,41.831,13.961,14,5.2,8,3,1,,,63,2,,2,,,,,3,1,,,63,2,,2,,,,,Italy,Europe,EU
1979,4,15,6,19,44.1,2113,,BALKANS NW:  MONTENEGRO,42.096,19.209,10,6.9,9,130,3,,,1001,4,2700,4,,4,,,131,3,,,1001,4,2700,4,,4,,,Montenegro,Europe,EU
1963,7,26,4,17,12,,,BALKANS NW:  MACEDONIA:  SKOPJE,42.1,21.3,5,6,10,1070,4,,,3300,4,1000,4,,4,,,1070,4,,,3300,4,1000,4,,4,,,Macedonia,Europe,EU
1928,4,14,8,59,43,,,BULGARIA:  CHIRPAN,42.2,25.3,7,6.8,10,127,3,,,1735,4,,4,74750,4,,,127,3,,,1735,4,,4,74750,4,,,Bulgaria,Europe,EU
2009,4,6,1,32,39,,,ITALY:  L'AQUILA,42.334,13.334,9,6.3,,309,3,,,1500,4,2500,4,15000,4,,,309,3,,,1500,4,2500,4,15000,4,,,Italy,Europe,EU
2002,4,24,10,51,50.9,,,BALKANS NW:  KOSOVO; MACEDONIA:  N,42.436,21.466,10,5.7,,1,1,,,60,2,,1,,,,,1,1,,,60,2,,1,,,,,Kosova,Europe,EU
1991,6,15,0,59,20.3,,,"GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA",42.461,44.009,9,6.1,8,8,1,,,200,3,,3,,,,,8,1,,,200,3,,,,,,,Georgia,Europe,EU
1894,3,22,10,23,,1208,,JAPAN:  OFF COAST OF HONSHU,42.5,146,40,7.9,9,1,1,,,6,1,,1,14,1,87,2,1,1,,,6,1,,2,,,99,2,Japan,Asia,EU
1971,2,6,18,9,9.1,,,ITALY:  TUSCANIA,42.5,11.8,33,4.6,8,24,1,,,150,3,41,4,40,1,1678,4,24,1,,,150,3,41,4,40,1,1678,4,Italy,Europe,EU
2017,1,18,10,14,9,,,ITALY:  FARINDOLA,42.529,13.282,9,5.7,,34,1,,,11,1,18,3,,1,,,34,1,,,11,1,18,3,,1,,,Italy,Europe,EU
2016,8,24,1,36,2,,,"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",42.704,13.238,4,6.2,9,299,3,15,1,368,3,5000,4,,3,,2,299,3,15,1,368,3,5000,4,,3,,2,Italy,Europe,EU
1979,9,19,21,35,37.2,,,ITALY:  CENTRAL:  UMBRIA,42.812,13.061,16,5.8,,5,1,,,5000,4,,3,,,,,5,1,,,5000,4,,3,,,,,Italy,Europe,EU
2016,10,30,6,40,5,,,ITALY: NORCIA,42.84,13.11,9,6.6,7,2,1,,,20,1,200,4,,1,,4,2,1,,,20,1,200,4,,1,,4,Italy,Europe,EU
2003,12,1,1,38,31.9,,,CHINA:  XINJIANG:  ZHAOSU,42.905,80.515,10,6,,11,1,,,47,1,,3,769,3,,,11,1,,,47,1,,3,769,3,,,China,Asia,EU
1997,9,26,9,40,26.3,,,"ITALY:  CENTRAL:  MARCHE, UMBRIA",43.084,12.812,10,6,10,14,1,,,100,2,4524.9,4,80000,4,,,14,1,,,100,2,4524.9,4,80000,4,,,Italy,Europe,EU
1967,8,13,22,7,47.5,,,"FRANCE:  ARETTE,LANNE,MONTORY,ARAMITS,HAUX,SUNHAR",43.2,-0.5,15,5.3,8,1,1,,,80,2,,2,,3,,,,1,,,80,2,,2,,3,,,France,Europe,EU
1984,4,29,5,3,0,,,ITALY:  CENTRAL:  :PERUGIA-ASSISSI-GUBBIO,43.26,12.558,12,5.3,8,3,1,,,200,3,25,4,,,,,3,1,,,200,3,25,4,,,,,Italy,Europe,EU
1986,12,7,14,17,9.5,,,BULGARIA:  VELIKO TURNOVO-TURGOVISHTE,43.274,25.912,21,5.6,7,3,1,,,60,2,5,2,,,,,3,1,,,60,2,5,2,,,,,Bulgaria,Europe,EU
2008,10,11,9,6,10.7,,,RUSSIA:  CAUCASUS:  CHECHNYA,43.372,46.254,16,5.7,,13,1,,,100,2,,3,,,1027,4,13,1,,,100,2,,3,,,1027,4,Russia,Asia,EU
2010,11,3,0,56,55,,,BALKANS NW: SERBIA:  KRALJEVO,43.76,20.673,1,5.5,6,2,1,,,100,2,,3,1000,3,5000,4,2,1,,,100,2,,3,1000,3,5000,4,Serbia,Europe,EU
1972,2,4,2,42,18.9,,,"ITALY:  CENTRAL, ANCONA",43.8,13.3,25,4.8,,1,1,,,2,1,,2,,,,,,,,,,,,,,,,,Italy,Europe,EU
1998,9,29,22,14,49.5,,,"BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO",44.209,20.08,10,5.5,8,1,1,,,17,1,,2,,3,,,1,1,,,17,1,,2,,3,,,Serbia,Europe,EU
1927,9,11,22,15,48,2299,,UKRAINE:  CRIMEA:  SEBASTOPOL,44.4,34.5,17,6.8,9,11,1,,,122,3,,4,,4,,4,11,1,,,122,3,,4,,4,,4,Ukraine,Europe,EU
2012,5,29,7,0,3,,,"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",44.851,11.086,10,5.9,,17,1,,,350,3,15800,4,,,,,17,1,,,350,3,15800,4,,,,,Italy,Europe,EU
1991,7,12,10,42,21.2,,,"ROMANIA:  BANLOC, DETA, TIMISOARA",45.364,21.057,11,5.6,8,2,1,,,30,2,,1,,,,2,2,1,,,30,1,,1,,,,2,Romania,Europe,EU
2020,12,29,11,19,54,,,BALKANS NW:  CROATIA:  PETRINJA,45.422,16.255,10,6.4,9,8,1,,,36,1,4187,4,1500,4,46000,4,8,1,,,36,1,4187,4,1500,4,46000,4,Croatia,Europe,EU
1986,8,30,21,28,35.4,,,"ROMANIA:  BUCHAREST, KISHINEV-KAGUL",45.547,26.316,132,6.9,8,2,1,,,558,3,730,4,,,55000,4,2,1,,,558,3,730,4,,,55000,4,Romania,Europe,EU
1977,3,4,19,21,55.6,,,ROMANIA:  BUCHAREST,45.777,26.703,89,7.5,,1641,4,,,10500,4,2000,4,,,,,1641,4,,,10500,4,2000,4,,,,,Romania,Europe,EU
1990,5,30,10,40,6.1,,,"ROMANIA:  BUCHAREST, BRAILA, BRASOV",45.841,26.668,89,6.7,6,14,1,,,700,3,23.7,3,,,,,14,1,,,700,3,23.7,3,,,,,Romania,Europe,EU
2020,3,22,5,24,3,,,BALKANS NW:  CROATIA:  ZAGREB,45.897,15.966,10,5.4,8,1,1,,,27,1,1800,4,6305,4,20000,4,1,1,,,27,1,1800,4,6305,4,20000,4,Croatia,Europe,EU
2004,7,12,13,4,7.1,,,"SLOVENIA: BOVEC, KOBARID",46.296,13.641,8,5.2,,1,1,,,5,1,,1,,1,,1,1,1,,,5,1,,1,,1,,1,Slovenia,Europe,EU
1976,5,6,20,0,11.6,,,"ITALY:  NE, BALKANS NW:   SLOVENIA: NW",46.356,13.275,9,6.5,10,978,3,,,1700,4,3600,4,,,,,978,3,,,1700,4,3600,4,,,,,Italy,Europe,EU
2003,9,27,11,33,25,,,"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,16,7.3,10,3,1,,,5,1,10.6,3,300,3,,,3,1,,,5,1,10.6,3,300,3,,,Russia,Asia,EU
2018,5,5,8,58,5,,,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.124,18.683,1,4.1,,5,1,,,2,1,,1,,,,,5,1,,,2,1,,1,,,,,Poland,Europe,EU
1983,11,8,0,49,32.1,,,BELGIUM,50.696,5.346,10,5,7,2,1,,,30,1,50,4,,3,,,2,1,,,30,1,50,4,,3,,,Belgium,Europe,EU
1992,4,13,1,20,0.8,,,"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG",51.153,5.798,21,5.2,8,1,1,,,45,1,100,4,,,,,1,1,,,45,1,100,4,,,,,Belgium,Europe,EU
2016,11,29,20,9,35,,,POLAND:  RUDNA,51.613,16.157,5,4.2,,8,1,,,9,1,,1,,,,,8,1,,,9,1,,1,,,,,Poland,Europe,EU
